,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
442,두부,검은콩두유,깻잎,,,,,,,,,,,,,,,,
443,시금치,,,,,,,,,,,,,,,,,,
444,콩나물,사과/,,,,,,,,,,,,,,,,,
445,사과/,,,,,,,,,,,,,,,,,,
446,두부,,,,,,,,,,,,,,,,,,
447,유정란/친환경,,,,,,,,,,,,,,,,,,
448,두부,,,,,,,,,,,,,,,,,,
449,시금치,찌개용두부,,,,,,,,,,,,,,,,,
450,찹쌀백미/유,,,,,,,,,,,,,,,,,,
451,양파,당근,,,,,,,,,,,,,,,,,
452,참기름,,,,,,,,,,,,,,,,,,
453,브로컬리,,,,,,,,,,,,,,,,,,
454,두부,,,,,,,,,,,,,,,,,,
455,두부,콩나물,,,,,,,,,,,,,,,,,
456,유정란/친환경,,,,,,,,,,,,,,,,,,
457,당근,,,,,,,,,,,,,,,,,,
458,두부,사과/,,,,,,,,,,,,,,,,,
459,두부,,,,,,,,,,,,,,,,,,
460,대파,,,,,,,,,,,,,,,,,,
461,시금치,찌개용두부,,,,,,,,,,,,,,,,,
462,팽이버섯,,,,,,,,,,,,,,,,,,
463,찌개용두부,,,,,,,,,,,,,,,,,,
464,두부,,,,,,,,,,,,,,,,,,
465,사과/,,,,,,,,,,,,,,,,,,
466,깻잎,,,,,,,,,,,,,,,,,,
